Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_16_9,standard,93,121,1.7000013031065464e-05,SUBOPTIMAL,103,"[1, 12, 0, 5, 14, 6, 2, 9, 3, 8, 15]"
in_house_20_0,standard,122,155,1.5099998563528061e-05,SUBOPTIMAL,87,"[18, 1, 15, 7, 13, 10, 3, 2, 14, 19, 12, 5]"
in_house_20_1,standard,125,62,1.2300093658268452e-05,SUBOPTIMAL,29,"[19, 9, 3]"
in_house_20_10,standard,123,191,2.429995220154524e-05,SUBOPTIMAL,161,"[12, 1, 14, 9, 17, 19, 18, 5, 7, 0, 11, 13, 4, 15, 3, 16]"
in_house_20_11,standard,117,153,2.9399991035461426e-05,SUBOPTIMAL,140,"[7, 6, 1, 5, 4, 9, 0, 8, 2, 16, 14, 12, 15, 17, 11, 10, 18]"
in_house_20_12,standard,120,114,2.9099988751113415e-05,SUBOPTIMAL,39,"[14, 13, 10, 1, 16, 0, 5, 2, 9]"
in_house_20_13,standard,124,104,1.71000137925148e-05,SUBOPTIMAL,80,"[7, 9, 11, 5, 19]"
in_house_20_14,standard,123,159,1.98000343516469e-05,SUBOPTIMAL,146,"[2, 0, 9, 14, 19, 10, 12, 6, 17, 5, 7, 15, 3, 1, 13, 18, 4, 16, 8]"
in_house_20_15,standard,129,181,1.6900012269616127e-05,SUBOPTIMAL,100,"[2, 7, 3, 8, 10, 14, 6, 0, 18]"
in_house_20_16,standard,126,200,1.7600017599761486e-05,SUBOPTIMAL,156,"[0, 15, 8, 17, 14, 5, 1, 6, 12, 13, 7, 10, 9, 2, 3, 19]"
in_house_20_17,standard,123,67,1.4899997040629387e-05,SUBOPTIMAL,57,"[6, 5, 0, 17, 3]"
in_house_20_18,standard,125,101,1.4299992471933365e-05,SUBOPTIMAL,33,"[14, 1, 2]"
in_house_20_19,standard,129,156,1.7699901945888996e-05,SUBOPTIMAL,136,"[5, 10, 18, 17, 12, 16, 11, 13, 9]"
in_house_20_2,standard,130,234,3.290001768618822e-05,SUBOPTIMAL,214,"[13, 7, 11, 2, 1, 6, 9, 5, 17, 14, 10, 12, 3, 19, 0, 16]"
in_house_20_20,standard,130,235,1.9799917936325073e-05,SUBOPTIMAL,220,"[5, 11, 4, 13, 1, 14, 8, 3, 0, 17, 2, 10, 12, 15, 19]"
in_house_20_21,standard,121,169,2.41999514400959e-05,SUBOPTIMAL,97,"[17, 12, 7, 15, 0, 5, 8, 11, 2, 3, 9]"
in_house_20_22,standard,125,63,3.490003291517496e-05,SUBOPTIMAL,36,"[15, 11, 1, 8]"
in_house_20_23,standard,118,58,2.110004425048828e-05,SUBOPTIMAL,28,"[1, 12]"
in_house_20_24,standard,132,72,2.759997732937336e-05,SUBOPTIMAL,28,"[17, 10, 19, 14]"
in_house_20_3,standard,127,167,2.9399991035461426e-05,SUBOPTIMAL,97,"[0, 16, 5, 13, 1, 14, 9, 6, 18, 4]"
in_house_20_4,standard,118,19,2.8499984182417393e-05,OPTIMAL,19,[10]
